Bin index,yH299-H2O2-treated-facs-pool3,yH299-H2O2-treated-facs-pool3 rank
CP048230.1-0,3,1222
CP048230.1-1,0,1248
CP048230.1-2,3,1223
CP048230.1-3,44,500
CP048230.1-4,45,491
CP048230.1-5,92,142
CP048230.1-6,117,77
CP048230.1-7,181,29
CP048230.1-8,82,185
CP048230.1-9,211,14
CP048230.1-10,55,370
CP048230.1-11,21,930
CP048230.1-12,167,35
CP048230.1-13,70,240
CP048230.1-14,140,50
CP048230.1-15,75,206
CP048230.1-16,37,617
CP048230.1-17,62,301
CP048230.1-18,156,38
CP048230.1-19,72,230
CP048230.1-20,67,269
CP048230.1-21,20,956
CP048230.1-22,7,1184
CP048230.1-23,60,322
CP048230.1-24,20,957
CP048230.1-25,54,378
CP048230.1-26,86,174
CP048230.1-27,64,294
CP048230.1-28,25,847
CP048230.1-29,29,767
CP048230.1-30,4,1213
CP048230.1-31,15,1058
CP048230.1-32,40,563
CP048230.1-33,48,458
CP048230.1-34,53,391
CP048230.1-35,51,418
CP048230.1-36,20,958
CP048230.1-37,70,241
CP048230.1-38,23,887
CP048230.1-39,20,959
CP048230.1-40,30,749
CP048230.1-41,51,419
CP048230.1-42,21,931
CP048230.1-43,62,302
CP048230.1-44,70,242
CP048230.1-45,25,848
CP048230.1-46,35,651
CP048230.1-47,59,332
CP048230.1-48,52,409
CP048230.1-49,0,1249
CP048230.1-50,4,1214
CP048231.1-0,2,1234
CP048231.1-1,33,688
CP048231.1-2,31,729
CP048231.1-3,53,392
CP048231.1-4,65,288
CP048231.1-5,71,235
CP048231.1-6,40,564
CP048231.1-7,74,219
CP048231.1-8,51,420
CP048231.1-9,95,133
CP048231.1-10,37,618
CP048231.1-11,39,580
CP048231.1-12,13,1093
CP048231.1-13,22,912
CP048231.1-14,31,730
CP048231.1-15,25,849
CP048231.1-16,20,960
CP048231.1-17,29,768
CP048231.1-18,17,1008
CP048231.1-19,32,708
CP048231.1-20,29,769
CP048231.1-21,6,1196
CP048231.1-22,50,436
CP048231.1-23,102,110
CP048231.1-24,51,421
CP048231.1-25,66,275
CP048231.1-26,46,480
CP048231.1-27,108,97
CP048231.1-28,100,120
CP048231.1-29,174,32
CP048231.1-30,126,61
CP048231.1-31,50,437
CP048231.1-32,29,770
CP048231.1-33,23,888
CP048231.1-34,56,354
CP048231.1-35,201,17
CP048231.1-36,35,652
CP048231.1-37,97,127
CP048231.1-38,193,21
CP048231.1-39,67,270
CP048231.1-40,55,371
CP048231.1-41,118,74
CP048231.1-42,100,121
CP048231.1-43,99,124
CP048231.1-44,256,6
CP048231.1-45,195,20
CP048231.1-46,105,104
CP048231.1-47,248,9
CP048231.1-48,185,24
CP048231.1-49,18,991
CP048231.1-50,2,1235
CP048231.1-51,3,1224
CP048232.1-0,1,1240
CP048232.1-1,11,1123
CP048232.1-2,31,731
CP048232.1-3,59,333
CP048232.1-4,37,619
CP048232.1-5,48,459
CP048232.1-6,38,595
CP048232.1-7,49,446
CP048232.1-8,49,447
CP048232.1-9,8,1170
CP048232.1-10,32,709
CP048232.1-11,35,653
CP048232.1-12,22,913
CP048232.1-13,14,1081
CP048232.1-14,36,634
CP048232.1-15,21,932
CP048232.1-16,90,153
CP048232.1-17,21,933
CP048232.1-18,66,276
CP048232.1-19,46,481
CP048232.1-20,11,1124
CP048232.1-21,38,596
CP048232.1-22,43,513
CP048232.1-23,87,170
CP048232.1-24,114,81
CP048232.1-25,15,1059
CP048232.1-26,37,620
CP048232.1-27,58,342
CP048232.1-28,68,262
CP048232.1-29,42,531
CP048232.1-30,27,805
CP048232.1-31,101,113
CP048232.1-32,74,220
CP048232.1-33,44,501
CP048232.1-34,82,186
CP048232.1-35,66,277
CP048232.1-36,119,73
CP048232.1-37,131,57
CP048232.1-38,90,154
CP048232.1-39,146,48
CP048232.1-40,183,28
CP048232.1-41,209,15
CP048232.1-42,143,49
CP048232.1-43,293,2
CP048232.1-44,117,78
CP048232.1-45,162,37
CP048232.1-46,72,231
CP048232.1-47,132,56
CP048232.1-48,56,355
CP048232.1-49,29,771
CP048232.1-50,60,323
CP048232.1-51,29,772
CP048232.1-52,33,689
CP048232.1-53,9,1150
CP048233.1-0,3,1225
CP048233.1-1,16,1038
CP048233.1-2,72,232
CP048233.1-3,41,553
CP048233.1-4,15,1060
CP048233.1-5,70,243
CP048233.1-6,44,502
CP048233.1-7,46,482
CP048233.1-8,65,289
CP048233.1-9,120,71
CP048233.1-10,92,143
CP048233.1-11,10,1139
CP048233.1-12,49,448
CP048233.1-13,43,514
CP048233.1-14,27,806
CP048233.1-15,13,1094
CP048233.1-16,43,515
CP048233.1-17,15,1061
CP048233.1-18,80,192
CP048233.1-19,32,710
CP048233.1-20,16,1039
CP048233.1-21,25,850
CP048233.1-22,22,914
CP048233.1-23,14,1082
CP048233.1-24,61,310
CP048233.1-25,21,934
CP048233.1-26,18,992
CP048233.1-27,24,870
CP048233.1-28,4,1215
CP048233.1-29,14,1083
CP048233.1-30,36,635
CP048233.1-31,28,791
CP048233.1-32,6,1197
CP048233.1-33,21,935
CP048233.1-34,26,822
CP048233.1-35,13,1095
CP048233.1-36,14,1084
CP048233.1-37,20,961
CP048233.1-38,52,410
CP048233.1-39,33,690
CP048233.1-40,32,711
CP048233.1-41,27,807
CP048233.1-42,39,581
CP048233.1-43,28,792
CP048233.1-44,44,503
CP048233.1-45,32,712
CP048233.1-46,33,691
CP048233.1-47,60,324
CP048233.1-48,26,823
CP048233.1-49,83,180
CP048233.1-50,48,460
CP048233.1-51,43,516
CP048233.1-52,20,962
CP048233.1-53,126,62
CP048233.1-54,90,155
CP048233.1-55,153,39
CP048233.1-56,70,244
CP048233.1-57,121,69
CP048233.1-58,112,84
CP048233.1-59,124,63
CP048233.1-60,149,42
CP048233.1-61,75,207
CP048233.1-62,101,114
CP048233.1-63,61,311
CP048233.1-64,207,16
CP048233.1-65,49,449
CP048233.1-66,153,40
CP048233.1-67,43,517
CP048233.1-68,110,90
CP048233.1-69,5,1206
CP048233.1-70,1,1241
CP048234.1-0,0,1250
CP048234.1-1,10,1140
CP048234.1-2,20,963
CP048234.1-3,10,1141
CP048234.1-4,15,1062
CP048234.1-5,15,1063
CP048234.1-6,23,889
CP048234.1-7,28,793
CP048234.1-8,25,851
CP048234.1-9,42,532
CP048234.1-10,17,1009
CP048234.1-11,18,993
CP048234.1-12,71,236
CP048234.1-13,66,278
CP048234.1-14,67,271
CP048234.1-15,28,794
CP048234.1-16,32,713
CP048234.1-17,42,533
CP048234.1-18,32,714
CP048234.1-19,97,128
CP048234.1-20,88,166
CP048234.1-21,66,279
CP048234.1-22,90,156
CP048234.1-23,229,10
CP048234.1-24,93,139
CP048234.1-25,120,72
CP048234.1-26,149,43
CP048234.1-27,83,181
CP048234.1-28,100,122
CP048234.1-29,59,334
CP048234.1-30,98,126
CP048234.1-31,147,46
CP048234.1-32,80,193
CP048234.1-33,68,263
CP048234.1-34,26,824
CP048234.1-35,33,692
CP048234.1-36,102,111
CP048234.1-37,53,393
CP048234.1-38,42,534
CP048234.1-39,103,108
CP048234.1-40,25,852
CP048234.1-41,45,492
CP048234.1-42,31,732
CP048234.1-43,89,160
CP048234.1-44,110,91
CP048234.1-45,30,750
CP048234.1-46,65,290
CP048234.1-47,56,356
CP048234.1-48,35,654
CP048234.1-49,57,349
CP048234.1-50,87,171
CP048234.1-51,12,1110
CP048234.1-52,41,554
CP048234.1-53,44,504
CP048234.1-54,10,1142
CP048234.1-55,18,994
CP048234.1-56,50,438
CP048234.1-57,70,245
CP048234.1-58,56,357
CP048234.1-59,26,825
CP048234.1-60,17,1010
CP048234.1-61,42,535
CP048234.1-62,92,144
CP048234.1-63,38,597
CP048234.1-64,60,325
CP048234.1-65,38,598
CP048234.1-66,54,379
CP048234.1-67,23,890
CP048234.1-68,4,1216
CP048234.1-69,1,1242
CP048234.1-70,1,1243
CP048235.1-0,4,1217
CP048235.1-1,0,1251
CP048235.1-2,8,1171
CP048235.1-3,69,254
CP048235.1-4,83,182
CP048235.1-5,128,58
CP048235.1-6,3,1226
CP048235.1-7,81,190
CP048235.1-8,124,64
