rel_bp	reads_sum	sites_n
-995	3773	17
-985	3340	13
-975	5431	16
-965	4513	11
-955	4670	15
-945	12877	20
-935	23878	18
-925	17649	14
-915	3342	14
-905	778	8
-895	4610	10
-885	5318	14
-875	4630	14
-865	1361	7
-855	1646	9
-845	7037	13
-835	3752	19
-825	8738	19
-815	5211	10
-805	2839	19
-795	3667	14
-785	4119	12
-775	1807	10
-765	4336	16
-755	3957	12
-745	4001	15
-735	3187	9
-725	5177	22
-715	10343	22
-705	6908	19
-695	2274	15
-685	3134	11
-675	2628	16
-665	10921	13
-655	3666	13
-645	10852	14
-635	3700	10
-625	5159	20
-615	9634	22
-605	649	8
-595	3410	13
-585	6486	16
-575	7714	20
-565	11222	18
-555	17244	23
-545	9848	20
-535	6249	19
-525	5508	26
-515	5753	24
-505	14206	26
-495	5707	27
-485	12482	40
-475	16852	39
-465	9129	21
-455	9804	25
-445	3049	20
-435	6998	23
-425	5352	21
-415	9918	27
-405	6265	28
-395	10092	24
-385	10725	27
-375	4088	29
-365	10963	34
-355	9999	29
-345	17347	28
-335	15823	27
-325	13053	37
-315	3990	20
-305	8384	41
-295	5435	28
-285	9019	46
-275	13446	40
-265	11637	37
-255	12115	37
-245	10266	37
-235	6949	27
-225	17050	28
-215	10166	33
-205	8409	30
-195	12364	33
-185	26732	41
-175	40350	42
-165	42641	62
-155	32902	83
-145	33681	79
-135	20787	73
-125	28320	83
-115	20745	73
-105	21165	43
-95	9050	13
-85	1819	11
-75	4529	13
-65	2026	8
-55	2254	10
-45	3557	13
-35	2427	19
-25	3702	26
-15	9304	43
-5	3344	23
5	15095	55
15	5599	40
25	11108	57
35	2317	28
45	2847	18
55	8239	44
65	22922	68
75	24935	87
85	39761	103
95	59141	122
105	23330	87
115	24898	76
125	37903	84
135	41341	75
145	25457	54
155	43875	56
165	16138	45
175	12259	53
185	16823	43
195	10312	39
205	9603	37
215	15880	31
225	23543	49
235	16784	44
245	6736	28
255	14042	38
265	9613	41
275	24534	42
285	23074	49
295	21544	41
305	12876	31
315	6771	22
325	12995	31
335	21330	28
345	25725	40
355	9768	34
365	7290	24
375	6467	22
385	14376	27
395	24160	23
405	37820	35
415	7412	26
425	14040	35
435	7254	27
445	6683	25
455	13971	31
465	8812	28
475	7385	39
485	9814	26
495	6011	16
505	1289	9
515	2524	10
525	4395	20
535	2228	10
545	4933	18
555	39878	32
565	5591	15
575	4655	12
585	2596	12
595	7941	18
605	8935	27
615	3620	13
625	9369	26
635	4889	21
645	7443	20
655	6950	14
665	7764	23
675	8665	22
685	11161	24
695	10292	16
705	1027	11
715	2534	10
725	3602	13
735	2716	13
745	2703	10
755	1316	11
765	1789	11
775	2202	14
785	5679	19
795	4994	16
805	2752	14
815	3170	13
825	5324	15
835	1015	7
845	10871	18
855	13409	20
865	2913	11
875	8013	16
885	2880	8
895	5111	14
905	4204	21
915	2084	8
925	3713	10
935	3791	14
945	7181	18
955	9401	17
965	9670	23
975	4812	17
985	7433	15
995	921	9
1005	47	2
