Bin index,yH299-H2O2-treated-facs-pool4,yH299-H2O2-treated-facs-pool4 rank
CP048230.1-0,1,1218
CP048230.1-1,2,1189
CP048230.1-2,2,1190
CP048230.1-3,26,409
CP048230.1-4,18,616
CP048230.1-5,46,155
CP048230.1-6,57,99
CP048230.1-7,105,26
CP048230.1-8,43,174
CP048230.1-9,98,31
CP048230.1-10,36,234
CP048230.1-11,6,1051
CP048230.1-12,101,29
CP048230.1-13,37,226
CP048230.1-14,80,46
CP048230.1-15,40,195
CP048230.1-16,19,589
CP048230.1-17,26,410
CP048230.1-18,93,36
CP048230.1-19,42,183
CP048230.1-20,33,279
CP048230.1-21,7,1024
CP048230.1-22,5,1089
CP048230.1-23,32,291
CP048230.1-24,5,1090
CP048230.1-25,29,343
CP048230.1-26,51,123
CP048230.1-27,35,251
CP048230.1-28,14,731
CP048230.1-29,13,781
CP048230.1-30,1,1219
CP048230.1-31,9,944
CP048230.1-32,25,437
CP048230.1-33,22,518
CP048230.1-34,27,385
CP048230.1-35,29,344
CP048230.1-36,5,1091
CP048230.1-37,42,184
CP048230.1-38,12,819
CP048230.1-39,8,982
CP048230.1-40,13,782
CP048230.1-41,28,362
CP048230.1-42,18,617
CP048230.1-43,31,306
CP048230.1-44,51,124
CP048230.1-45,8,983
CP048230.1-46,30,323
CP048230.1-47,23,486
CP048230.1-48,26,411
CP048230.1-49,1,1220
CP048231.1-0,0,1239
CP048231.1-1,22,519
CP048231.1-2,23,487
CP048231.1-3,28,363
CP048231.1-4,33,280
CP048231.1-5,36,235
CP048231.1-6,22,520
CP048231.1-7,34,259
CP048231.1-8,19,590
CP048231.1-9,45,161
CP048231.1-10,11,853
CP048231.1-11,13,783
CP048231.1-12,4,1121
CP048231.1-13,5,1092
CP048231.1-14,15,703
CP048231.1-15,18,618
CP048231.1-16,6,1052
CP048231.1-17,13,784
CP048231.1-18,7,1025
CP048231.1-19,15,704
CP048231.1-20,17,645
CP048231.1-21,0,1240
CP048231.1-22,21,549
CP048231.1-23,55,106
CP048231.1-24,25,438
CP048231.1-25,34,260
CP048231.1-26,37,227
CP048231.1-27,69,59
CP048231.1-28,60,87
CP048231.1-29,88,40
CP048231.1-30,53,116
CP048231.1-31,12,820
CP048231.1-32,19,591
CP048231.1-33,4,1122
CP048231.1-34,31,307
CP048231.1-35,140,5
CP048231.1-36,19,592
CP048231.1-37,57,100
CP048231.1-38,120,15
CP048231.1-39,36,236
CP048231.1-40,27,386
CP048231.1-41,54,111
CP048231.1-42,57,101
CP048231.1-43,58,95
CP048231.1-44,122,13
CP048231.1-45,90,38
CP048231.1-46,63,71
CP048231.1-47,132,9
CP048231.1-48,122,14
CP048231.1-49,6,1053
CP048231.1-50,0,1241
CP048231.1-51,3,1161
CP048232.1-0,0,1242
CP048232.1-1,4,1123
CP048232.1-2,16,671
CP048232.1-3,24,466
CP048232.1-4,21,550
CP048232.1-5,29,345
CP048232.1-6,19,593
CP048232.1-7,19,594
CP048232.1-8,27,387
CP048232.1-9,4,1124
CP048232.1-10,22,521
CP048232.1-11,15,705
CP048232.1-12,18,619
CP048232.1-13,8,984
CP048232.1-14,12,821
CP048232.1-15,10,895
CP048232.1-16,47,150
CP048232.1-17,8,985
CP048232.1-18,31,308
CP048232.1-19,19,595
CP048232.1-20,10,896
CP048232.1-21,17,646
CP048232.1-22,18,620
CP048232.1-23,49,137
CP048232.1-24,51,125
CP048232.1-25,5,1093
CP048232.1-26,16,672
CP048232.1-27,29,346
CP048232.1-28,32,292
CP048232.1-29,17,647
CP048232.1-30,18,621
CP048232.1-31,51,126
CP048232.1-32,30,324
CP048232.1-33,20,572
CP048232.1-34,42,185
CP048232.1-35,62,76
CP048232.1-36,51,127
CP048232.1-37,58,96
CP048232.1-38,62,77
CP048232.1-39,76,51
CP048232.1-40,90,39
CP048232.1-41,93,37
CP048232.1-42,81,45
CP048232.1-43,170,2
CP048232.1-44,62,78
CP048232.1-45,96,33
CP048232.1-46,41,189
CP048232.1-47,88,41
CP048232.1-48,25,439
CP048232.1-49,17,648
CP048232.1-50,29,347
CP048232.1-51,14,732
CP048232.1-52,20,573
CP048232.1-53,8,986
CP048233.1-0,0,1243
CP048233.1-1,11,854
CP048233.1-2,120,16
CP048233.1-3,34,261
CP048233.1-4,7,1026
CP048233.1-5,27,388
CP048233.1-6,25,440
CP048233.1-7,22,522
CP048233.1-8,26,412
CP048233.1-9,63,72
CP048233.1-10,50,131
CP048233.1-11,3,1162
CP048233.1-12,27,389
CP048233.1-13,16,673
CP048233.1-14,18,622
CP048233.1-15,8,987
CP048233.1-16,27,390
CP048233.1-17,9,945
CP048233.1-18,41,190
CP048233.1-19,11,855
CP048233.1-20,7,1027
CP048233.1-21,19,596
CP048233.1-22,4,1125
CP048233.1-23,4,1126
CP048233.1-24,34,262
CP048233.1-25,10,897
CP048233.1-26,4,1127
CP048233.1-27,10,898
CP048233.1-28,0,1244
CP048233.1-29,10,899
CP048233.1-30,16,674
CP048233.1-31,11,856
CP048233.1-32,3,1163
CP048233.1-33,13,785
CP048233.1-34,15,706
CP048233.1-35,8,988
CP048233.1-36,8,989
CP048233.1-37,12,822
CP048233.1-38,26,413
CP048233.1-39,19,597
CP048233.1-40,23,488
CP048233.1-41,6,1054
CP048233.1-42,16,675
CP048233.1-43,22,523
CP048233.1-44,25,441
CP048233.1-45,10,900
CP048233.1-46,10,901
CP048233.1-47,34,263
CP048233.1-48,9,946
CP048233.1-49,43,175
CP048233.1-50,25,442
CP048233.1-51,27,391
CP048233.1-52,9,947
CP048233.1-53,62,79
CP048233.1-54,38,214
CP048233.1-55,88,42
CP048233.1-56,31,309
CP048233.1-57,69,60
CP048233.1-58,71,57
CP048233.1-59,61,84
CP048233.1-60,94,35
CP048233.1-61,39,205
CP048233.1-62,43,176
CP048233.1-63,30,325
CP048233.1-64,126,11
CP048233.1-65,22,524
