Bin index,yH298-H2O2-treated-facs-pool2,yH298-H2O2-treated-facs-pool2 rank
CP048230.1-0,0,1058
CP048230.1-1,1,881
CP048230.1-2,0,1059
CP048230.1-3,3,567
CP048230.1-4,7,249
CP048230.1-5,9,175
CP048230.1-6,8,214
CP048230.1-7,33,10
CP048230.1-8,9,176
CP048230.1-9,21,32
CP048230.1-10,5,365
CP048230.1-11,1,882
CP048230.1-12,29,14
CP048230.1-13,7,250
CP048230.1-14,17,53
CP048230.1-15,5,366
CP048230.1-16,6,309
CP048230.1-17,3,568
CP048230.1-18,19,37
CP048230.1-19,4,462
CP048230.1-20,5,367
CP048230.1-21,0,1060
CP048230.1-22,0,1061
CP048230.1-23,8,215
CP048230.1-24,3,569
CP048230.1-25,4,463
CP048230.1-26,9,177
CP048230.1-27,9,178
CP048230.1-28,2,711
CP048230.1-29,4,464
CP048230.1-30,0,1062
CP048230.1-31,2,712
CP048230.1-32,5,368
CP048230.1-33,7,251
CP048230.1-34,4,465
CP048230.1-35,9,179
CP048230.1-36,0,1063
CP048230.1-37,2,713
CP048230.1-38,3,570
CP048230.1-39,1,883
CP048230.1-40,2,714
CP048230.1-41,3,571
CP048230.1-42,2,715
CP048230.1-43,9,180
CP048230.1-44,9,181
CP048230.1-45,1,884
CP048230.1-46,7,252
CP048230.1-47,4,466
CP048230.1-48,8,216
CP048231.1-0,0,1064
CP048231.1-1,3,572
CP048231.1-2,6,310
CP048231.1-3,3,573
CP048231.1-4,2,716
CP048231.1-5,4,467
CP048231.1-6,5,369
CP048231.1-7,8,217
CP048231.1-8,5,370
CP048231.1-9,6,311
CP048231.1-10,6,312
CP048231.1-11,5,371
CP048231.1-12,0,1065
CP048231.1-13,2,717
CP048231.1-14,4,468
CP048231.1-15,1,885
CP048231.1-16,2,718
CP048231.1-17,2,719
CP048231.1-18,1,886
CP048231.1-19,4,469
CP048231.1-20,1,887
CP048231.1-21,0,1066
CP048231.1-22,2,720
CP048231.1-23,13,89
CP048231.1-24,5,372
CP048231.1-25,10,156
CP048231.1-26,4,470
CP048231.1-27,16,62
CP048231.1-28,19,38
CP048231.1-29,19,39
CP048231.1-30,11,131
