Bin index,yH298-H2O2-treated-facs-pool1,yH298-H2O2-treated-facs-pool1 rank
CP048230.1-0,1,1225
CP048230.1-1,0,1244
CP048230.1-2,1,1226
CP048230.1-3,25,627
CP048230.1-4,32,487
CP048230.1-5,69,138
CP048230.1-6,83,85
CP048230.1-7,149,17
CP048230.1-8,69,139
CP048230.1-9,147,19
CP048230.1-10,34,454
CP048230.1-11,12,961
CP048230.1-12,143,24
CP048230.1-13,57,204
CP048230.1-14,114,44
CP048230.1-15,54,215
CP048230.1-16,24,655
CP048230.1-17,45,292
CP048230.1-18,116,41
CP048230.1-19,61,177
CP048230.1-20,44,308
CP048230.1-21,15,892
CP048230.1-22,6,1125
CP048230.1-23,39,378
CP048230.1-24,12,962
CP048230.1-25,47,274
CP048230.1-26,73,123
CP048230.1-27,43,327
CP048230.1-28,22,702
CP048230.1-29,17,829
CP048230.1-30,1,1227
CP048230.1-31,8,1080
CP048230.1-32,40,360
CP048230.1-33,43,328
CP048230.1-34,42,338
CP048230.1-35,51,242
CP048230.1-36,14,920
CP048230.1-37,51,243
CP048230.1-38,32,488
CP048230.1-39,21,727
CP048230.1-40,27,579
CP048230.1-41,38,388
CP048230.1-42,24,656
CP048230.1-43,53,220
CP048230.1-44,61,178
CP048230.1-45,17,830
CP048230.1-46,25,628
CP048230.1-47,42,339
CP048230.1-48,41,348
CP048230.1-49,1,1228
CP048230.1-50,2,1211
CP048231.1-0,0,1245
CP048231.1-1,21,728
CP048231.1-2,32,489
CP048231.1-3,30,520
CP048231.1-4,40,361
CP048231.1-5,45,293
CP048231.1-6,28,560
CP048231.1-7,48,264
CP048231.1-8,21,729
CP048231.1-9,74,117
CP048231.1-10,28,561
CP048231.1-11,27,580
CP048231.1-12,11,996
CP048231.1-13,14,921
CP048231.1-14,24,657
CP048231.1-15,16,863
CP048231.1-16,8,1081
CP048231.1-17,22,703
CP048231.1-18,16,864
CP048231.1-19,32,490
CP048231.1-20,20,751
CP048231.1-21,3,1195
CP048231.1-22,24,658
CP048231.1-23,83,86
CP048231.1-24,33,469
CP048231.1-25,47,275
CP048231.1-26,43,329
CP048231.1-27,81,93
CP048231.1-28,81,94
CP048231.1-29,116,42
CP048231.1-30,77,103
CP048231.1-31,30,521
CP048231.1-32,16,865
CP048231.1-33,12,963
CP048231.1-34,44,309
CP048231.1-35,144,23
CP048231.1-36,26,608
CP048231.1-37,95,63
CP048231.1-38,142,25
CP048231.1-39,51,244
CP048231.1-40,40,362
CP048231.1-41,86,75
CP048231.1-42,74,118
CP048231.1-43,79,96
CP048231.1-44,169,10
CP048231.1-45,126,34
CP048231.1-46,98,59
CP048231.1-47,174,9
CP048231.1-48,142,26
CP048231.1-49,9,1053
CP048231.1-50,0,1246
CP048231.1-51,2,1212
CP048232.1-0,3,1196
CP048232.1-1,12,964
CP048232.1-2,24,659
CP048232.1-3,35,441
CP048232.1-4,36,426
CP048232.1-5,35,442
CP048232.1-6,24,660
CP048232.1-7,26,609
CP048232.1-8,33,470
CP048232.1-9,7,1106
CP048232.1-10,30,522
CP048232.1-11,28,562
CP048232.1-12,18,798
CP048232.1-13,18,799
CP048232.1-14,21,730
CP048232.1-15,19,771
CP048232.1-16,66,149
CP048232.1-17,8,1082
CP048232.1-18,56,210
CP048232.1-19,29,547
CP048232.1-20,14,922
CP048232.1-21,29,548
CP048232.1-22,25,629
