Bin index,yH299-parent-pool4,yH299-parent-pool4 rank
CP048230.1-0,1,1211
CP048230.1-1,0,1236
CP048230.1-2,1,1212
CP048230.1-3,13,701
CP048230.1-4,17,563
CP048230.1-5,43,124
CP048230.1-6,43,125
CP048230.1-7,94,17
CP048230.1-8,38,162
CP048230.1-9,102,13
CP048230.1-10,29,264
CP048230.1-11,13,702
CP048230.1-12,90,23
CP048230.1-13,33,220
CP048230.1-14,66,50
CP048230.1-15,24,373
CP048230.1-16,15,630
CP048230.1-17,25,336
CP048230.1-18,67,48
CP048230.1-19,33,221
CP048230.1-20,26,319
CP048230.1-21,7,978
CP048230.1-22,2,1178
CP048230.1-23,27,304
CP048230.1-24,6,1023
CP048230.1-25,26,320
CP048230.1-26,33,222
CP048230.1-27,33,223
CP048230.1-28,13,703
CP048230.1-29,11,803
CP048230.1-30,4,1092
CP048230.1-31,4,1093
CP048230.1-32,26,321
CP048230.1-33,27,305
CP048230.1-34,18,527
CP048230.1-35,25,337
CP048230.1-36,3,1149
CP048230.1-37,36,189
CP048230.1-38,8,930
CP048230.1-39,12,755
CP048230.1-40,10,839
CP048230.1-41,25,338
CP048230.1-42,17,564
CP048230.1-43,26,322
CP048230.1-44,40,152
CP048230.1-45,12,756
CP048230.1-46,13,704
CP048230.1-47,28,284
CP048230.1-48,20,467
CP048230.1-49,4,1094
CP048230.1-50,4,1095
CP048231.1-0,2,1179
CP048231.1-1,12,757
CP048231.1-2,8,931
CP048231.1-3,25,339
CP048231.1-4,19,497
CP048231.1-5,31,243
CP048231.1-6,21,442
CP048231.1-7,25,340
CP048231.1-8,17,565
CP048231.1-9,49,86
CP048231.1-10,21,443
CP048231.1-11,10,840
CP048231.1-12,8,932
CP048231.1-13,10,841
CP048231.1-14,9,886
CP048231.1-15,8,933
CP048231.1-16,9,887
CP048231.1-17,11,804
CP048231.1-18,18,528
CP048231.1-19,10,842
CP048231.1-20,12,758
CP048231.1-21,2,1180
CP048231.1-22,17,566
CP048231.1-23,51,81
CP048231.1-24,17,567
CP048231.1-25,29,265
CP048231.1-26,29,266
CP048231.1-27,47,96
CP048231.1-28,52,78
CP048231.1-29,88,26
CP048231.1-30,66,51
CP048231.1-31,14,664
CP048231.1-32,17,568
CP048231.1-33,15,631
CP048231.1-34,18,529
CP048231.1-35,94,18
CP048231.1-36,19,498
CP048231.1-37,74,39
CP048231.1-38,98,15
CP048231.1-39,27,306
CP048231.1-40,25,341
CP048231.1-41,49,87
CP048231.1-42,29,267
CP048231.1-43,49,88
CP048231.1-44,117,8
CP048231.1-45,82,31
CP048231.1-46,57,66
CP048231.1-47,87,27
CP048231.1-48,75,37
CP048231.1-49,0,1237
CP048231.1-50,2,1181
CP048232.1-0,1,1213
CP048232.1-1,4,1096
CP048232.1-2,16,604
CP048232.1-3,20,468
CP048232.1-4,22,419
CP048232.1-5,24,374
CP048232.1-6,17,569
CP048232.1-7,16,605
CP048232.1-8,19,499
CP048232.1-9,7,979
CP048232.1-10,13,705
CP048232.1-11,17,570
CP048232.1-12,12,759
CP048232.1-13,21,444
CP048232.1-14,14,665
CP048232.1-15,9,888
CP048232.1-16,43,126
CP048232.1-17,7,980
CP048232.1-18,32,234
CP048232.1-19,21,445
CP048232.1-20,5,1060
CP048232.1-21,19,500
CP048232.1-22,15,632
CP048232.1-23,35,195
CP048232.1-24,46,106
CP048232.1-25,4,1097
CP048232.1-26,14,666
CP048232.1-27,18,530
CP048232.1-28,25,342
CP048232.1-29,22,420
CP048232.1-30,14,667
CP048232.1-31,67,49
CP048232.1-32,28,285
CP048232.1-33,19,501
CP048232.1-34,37,175
CP048232.1-35,27,307
CP048232.1-36,49,89
CP048232.1-37,63,57
CP048232.1-38,41,142
CP048232.1-39,71,42
CP048232.1-40,84,29
CP048232.1-41,103,11
