Bin index,yH299-parent-pool4,yH299-parent-pool4 rank
CP048230.1-0,1,826
CP048230.1-1,0,1038
CP048230.1-2,0,1039
CP048230.1-3,2,643
CP048230.1-4,2,644
CP048230.1-5,10,91
CP048230.1-6,6,217
CP048230.1-7,20,15
CP048230.1-8,9,115
CP048230.1-9,17,32
CP048230.1-10,5,275
CP048230.1-11,2,645
CP048230.1-12,25,8
CP048230.1-13,8,144
CP048230.1-14,12,67
CP048230.1-15,2,646
CP048230.1-16,2,647
CP048230.1-17,5,276
CP048230.1-18,19,21
CP048230.1-19,4,378
CP048230.1-20,4,379
CP048230.1-21,1,827
CP048230.1-22,0,1040
CP048230.1-23,4,380
CP048230.1-24,2,648
CP048230.1-25,4,381
CP048230.1-26,8,145
CP048230.1-27,11,79
CP048230.1-28,2,649
CP048230.1-29,5,277
CP048230.1-30,0,1041
CP048230.1-31,0,1042
CP048230.1-32,9,116
CP048230.1-33,6,218
CP048230.1-34,2,650
CP048230.1-35,4,382
CP048230.1-36,0,1043
CP048230.1-37,6,219
CP048230.1-38,0,1044
CP048230.1-39,3,499
CP048230.1-40,1,828
CP048230.1-41,3,500
CP048230.1-42,1,829
CP048230.1-43,7,171
CP048230.1-44,7,172
CP048230.1-45,1,830
CP048230.1-46,5,278
CP048230.1-47,3,501
CP048230.1-48,5,279
CP048231.1-0,0,1045
CP048231.1-1,1,831
CP048231.1-2,0,1046
CP048231.1-3,3,502
CP048231.1-4,1,832
CP048231.1-5,8,146
CP048231.1-6,2,651
CP048231.1-7,1,833
CP048231.1-8,2,652
CP048231.1-9,9,117
CP048231.1-10,5,280
CP048231.1-11,1,834
CP048231.1-12,4,383
CP048231.1-13,2,653
CP048231.1-14,1,835
CP048231.1-15,0,1047
CP048231.1-16,0,1048
CP048231.1-17,1,836
CP048231.1-18,6,220
CP048231.1-19,3,503
CP048231.1-20,1,837
CP048231.1-21,0,1049
CP048231.1-22,2,654
CP048231.1-23,10,92
CP048231.1-24,0,1050
CP048231.1-25,5,281
CP048231.1-26,6,221
CP048231.1-27,10,93
CP048231.1-28,11,80
CP048231.1-29,25,9
CP048231.1-30,14,50
CP048231.1-31,0,1051
CP048231.1-32,2,655
CP048231.1-33,4,384
CP048231.1-34,2,656
CP048231.1-35,17,33
CP048231.1-36,2,657
CP048231.1-37,17,34
CP048231.1-38,23,11
CP048231.1-39,6,222
CP048231.1-40,4,385
CP048231.1-41,8,147
CP048231.1-42,4,386
CP048231.1-43,12,68
CP048231.1-44,26,7
CP048231.1-45,14,51
CP048231.1-46,11,81
CP048231.1-47,16,42
CP048231.1-48,18,27
CP048232.1-0,0,1052
CP048232.1-1,0,1053
CP048232.1-2,2,658
CP048232.1-3,6,223
CP048232.1-4,7,173
CP048232.1-5,2,659
CP048232.1-6,0,1054
CP048232.1-7,2,660
CP048232.1-8,6,224
CP048232.1-9,1,838
CP048232.1-10,2,661
CP048232.1-11,1,839
CP048232.1-12,1,840
CP048232.1-13,6,225
CP048232.1-14,3,504
CP048232.1-15,2,662
CP048232.1-16,15,46
CP048232.1-17,1,841
CP048232.1-18,9,118
CP048232.1-19,3,505
CP048232.1-20,1,842
CP048232.1-21,4,387
CP048232.1-22,2,663
CP048232.1-23,6,226
CP048232.1-24,6,227
CP048232.1-25,1,843
CP048232.1-26,6,228
CP048232.1-27,3,506
CP048232.1-28,5,282
CP048232.1-29,1,844
CP048232.1-30,2,664
CP048232.1-31,13,56
CP048232.1-32,5,283
CP048232.1-33,5,284
CP048232.1-34,4,388
CP048232.1-35,5,285
CP048232.1-36,9,119
CP048232.1-37,17,35
CP048232.1-38,8,148
CP048232.1-39,15,47
CP048232.1-40,12,69
CP048232.1-41,24,10
CP048232.1-42,19,22
CP048232.1-43,31,4
CP048232.1-44,17,36
CP048232.1-45,9,120
CP048232.1-46,1,845
CP048232.1-47,14,52
CP048232.1-48,7,174
CP048232.1-49,4,389
CP048232.1-50,5,286
CP048232.1-51,0,1055
CP048232.1-52,5,287
CP048233.1-0,0,1056
CP048233.1-1,1,846
CP048233.1-2,6,229
CP048233.1-3,2,665
CP048233.1-4,0,1057
CP048233.1-5,6,230
CP048233.1-6,3,507
CP048233.1-7,5,288
CP048233.1-8,4,390
CP048233.1-9,9,121
CP048233.1-10,8,149
CP048233.1-11,0,1058
CP048233.1-12,9,122
CP048233.1-13,3,508
CP048233.1-14,0,1059
CP048233.1-15,0,1060
CP048233.1-16,1,847
CP048233.1-17,0,1061
CP048233.1-18,13,57
CP048233.1-19,0,1062
CP048233.1-20,1,848
CP048233.1-21,0,1063
CP048233.1-22,1,849
CP048233.1-23,0,1064
CP048233.1-24,7,175
CP048233.1-25,4,391
CP048233.1-26,1,850
CP048233.1-27,2,666
CP048233.1-28,0,1065
CP048233.1-29,2,667
CP048233.1-30,1,851
CP048233.1-31,1,852
CP048233.1-32,0,1066
CP048233.1-33,0,1067
CP048233.1-34,1,853
CP048233.1-35,5,289
CP048233.1-36,1,854
CP048233.1-37,1,855
CP048233.1-38,4,392
CP048233.1-39,4,393
CP048233.1-40,3,509
CP048233.1-41,3,510
CP048233.1-42,6,231
CP048233.1-43,3,511
CP048233.1-44,1,856
CP048233.1-45,3,512
CP048233.1-46,5,290
CP048233.1-47,7,176
CP048233.1-48,3,513
CP048233.1-49,4,394
CP048233.1-50,8,150
CP048233.1-51,5,291
CP048233.1-52,1,857
CP048233.1-53,10,94
CP048233.1-54,6,232
CP048233.1-55,17,37
CP048233.1-56,5,292
CP048233.1-57,9,123
CP048233.1-58,8,151
CP048233.1-59,16,43
CP048233.1-60,17,38
CP048233.1-61,3,514
CP048233.1-62,6,233
CP048233.1-63,4,395
CP048233.1-64,33,3
CP048233.1-65,3,515
CP048233.1-66,19,23
CP048233.1-67,2,668
CP048233.1-68,11,82
CP048234.1-0,0,1068
CP048234.1-1,0,1069
CP048234.1-2,0,1070
CP048234.1-3,0,1071
CP048234.1-4,2,669
