Bin index,yH298-parent-pool1_normalized,yH298-parent-pool1_normalized rank
CP048230.1-0,0,1238
CP048230.1-1,0,1239
CP048230.1-2,1,1224
CP048230.1-3,43,468
CP048230.1-4,35,598
CP048230.1-5,93,125
CP048230.1-6,133,51
CP048230.1-7,191,21
CP048230.1-8,87,141
CP048230.1-9,184,28
CP048230.1-10,56,340
CP048230.1-11,26,762
CP048230.1-12,185,27
CP048230.1-13,81,164
CP048230.1-14,166,33
CP048230.1-15,62,287
CP048230.1-16,32,652
CP048230.1-17,60,300
CP048230.1-18,124,60
CP048230.1-19,79,172
CP048230.1-20,74,193
CP048230.1-21,14,1015
CP048230.1-22,6,1169
CP048230.1-23,53,370
CP048230.1-24,14,1016
CP048230.1-25,65,257
CP048230.1-26,75,189
CP048230.1-27,55,353
CP048230.1-28,28,720
CP048230.1-29,16,979
CP048230.1-30,2,1217
CP048230.1-31,8,1138
CP048230.1-32,43,469
CP048230.1-33,44,458
CP048230.1-34,62,288
CP048230.1-35,58,321
CP048230.1-36,18,942
CP048230.1-37,64,269
CP048230.1-38,29,702
CP048230.1-39,25,785
CP048230.1-40,23,828
CP048230.1-41,53,371
CP048230.1-42,33,634
CP048230.1-43,51,393
CP048230.1-44,74,194
CP048230.1-45,27,739
CP048230.1-46,53,372
CP048230.1-47,52,386
CP048230.1-48,60,301
CP048231.1-0,0,1240
CP048231.1-1,37,561
CP048231.1-2,30,679
CP048231.1-3,46,437
CP048231.1-4,43,470
CP048231.1-5,68,234
CP048231.1-6,52,387
CP048231.1-7,62,289
CP048231.1-8,29,703
CP048231.1-9,100,102
CP048231.1-10,38,552
CP048231.1-11,29,704
CP048231.1-12,10,1092
CP048231.1-13,16,980
CP048231.1-14,30,680
CP048231.1-15,24,809
CP048231.1-16,12,1052
CP048231.1-17,20,895
CP048231.1-18,27,740
CP048231.1-19,24,810
CP048231.1-20,23,829
CP048231.1-21,3,1209
CP048231.1-22,47,426
CP048231.1-23,108,86
CP048231.1-24,39,537
CP048231.1-25,67,239
CP048231.1-26,60,302
CP048231.1-27,95,119
CP048231.1-28,98,109
CP048231.1-29,156,40
CP048231.1-30,127,57
CP048231.1-31,38,553
CP048231.1-32,27,741
CP048231.1-33,24,811
CP048231.1-34,45,446
CP048231.1-35,161,35
CP048231.1-36,36,585
CP048231.1-37,106,89
CP048231.1-38,193,19
CP048231.1-39,74,195
CP048231.1-40,49,410
CP048231.1-41,102,96
CP048231.1-42,111,77
CP048231.1-43,103,95
CP048231.1-44,225,11
CP048231.1-45,191,22
CP048231.1-46,149,42
CP048231.1-47,189,23
CP048231.1-48,205,15
CP048231.1-49,15,1005
CP048231.1-50,0,1241
CP048231.1-51,3,1210
CP048232.1-0,1,1225
CP048232.1-1,14,1017
CP048232.1-2,23,830
CP048232.1-3,43,471
CP048232.1-4,34,616
CP048232.1-5,45,447
CP048232.1-6,37,562
CP048232.1-7,42,483
CP048232.1-8,39,538
CP048232.1-9,6,1170
CP048232.1-10,36,586
CP048232.1-11,33,635
CP048232.1-12,25,786
CP048232.1-13,22,850
CP048232.1-14,31,671
CP048232.1-15,24,812
CP048232.1-16,89,136
CP048232.1-17,11,1077
CP048232.1-18,67,240
CP048232.1-19,44,459
CP048232.1-20,8,1139
CP048232.1-21,34,617
CP048232.1-22,30,681
CP048232.1-23,73,199
CP048232.1-24,109,83
CP048232.1-25,23,831
CP048232.1-26,29,705
CP048232.1-27,50,401
CP048232.1-28,57,336
CP048232.1-29,35,599
CP048232.1-30,29,706
CP048232.1-31,96,113
CP048232.1-32,54,360
CP048232.1-33,41,498
CP048232.1-34,76,181
CP048232.1-35,31,672
CP048232.1-36,122,62
CP048232.1-37,132,53
CP048232.1-38,109,84
CP048232.1-39,120,63
CP048232.1-40,186,25
CP048232.1-41,220,13
CP048232.1-42,158,37
CP048232.1-43,296,2
CP048232.1-44,158,38
CP048232.1-45,176,30
CP048232.1-46,71,208
CP048232.1-47,141,45
