rel_bp	reads_sum	sites_n
-995	14	13
-985	18	14
-975	21	12
-965	28	20
-955	26	19
-945	24	15
-935	46	26
-925	32	22
-915	22	15
-905	24	18
-895	15	14
-885	24	15
-875	35	17
-865	45	23
-855	19	16
-845	19	13
-835	34	23
-825	49	21
-815	35	22
-805	19	15
-795	18	15
-785	25	19
-775	29	22
-765	23	16
-755	14	11
-745	35	16
-735	16	10
-725	27	21
-715	25	18
-705	30	21
-695	32	23
-685	20	16
-675	23	17
-665	33	21
-655	27	21
-645	30	17
-635	18	15
-625	20	17
-615	24	18
-605	16	14
-595	16	9
-585	12	11
-575	26	23
-565	20	17
-555	11	10
-545	10	9
-535	5	5
-525	14	11
-515	34	27
-505	27	26
-495	14	13
-485	18	15
-475	29	18
-465	21	15
-455	26	17
-445	17	13
-435	25	18
-425	11	10
-415	29	22
-405	25	18
-395	23	15
-385	11	11
-375	18	11
-365	18	14
-355	17	12
-345	15	11
-335	11	10
-325	31	24
-315	25	17
-305	18	13
-295	14	11
-285	13	12
-275	30	25
-265	24	16
-255	35	25
-245	22	18
-235	16	10
-225	8	8
-215	33	18
-205	17	16
-195	40	29
-185	22	16
-175	27	21
-165	28	20
-155	27	20
-145	27	23
-135	32	18
-125	26	19
-115	28	21
-105	25	17
-95	15	12
-85	23	21
-75	19	14
-65	22	17
-55	27	22
-45	19	15
-35	21	15
-25	25	18
-15	19	16
-5	17	15
5	30	24
15	25	24
25	36	27
35	27	24
45	39	32
55	23	21
65	32	22
75	47	37
85	45	38
95	31	25
105	44	32
115	44	34
125	30	24
135	56	44
145	74	37
155	41	31
165	46	35
175	44	33
185	34	31
195	39	32
205	41	33
215	35	27
225	24	19
235	39	32
245	47	39
255	38	31
265	33	29
275	46	33
285	40	31
295	35	27
305	48	35
315	42	36
325	37	28
335	37	30
345	43	37
355	40	28
365	39	27
375	41	24
385	38	31
395	21	18
405	29	25
415	31	25
425	26	21
435	25	21
445	34	22
455	34	27
465	39	32
475	23	19
485	28	18
495	24	19
505	29	21
515	18	12
525	36	26
535	23	17
545	29	21
555	28	20
565	28	19
575	19	15
585	13	12
595	27	18
605	48	31
615	22	20
625	28	19
635	18	16
645	18	15
655	20	17
665	22	17
675	14	11
685	22	14
695	23	17
705	17	10
715	16	14
725	17	10
735	16	11
745	22	16
755	15	13
765	19	13
775	19	14
785	12	7
795	11	9
805	29	18
815	25	13
825	12	10
835	22	18
845	8	7
855	12	7
865	12	12
875	4	2
885	12	10
895	14	10
905	23	16
915	10	9
925	9	6
935	9	8
945	11	9
955	18	13
965	17	13
975	10	6
985	7	6
995	11	9
