rel_bp	reads_sum	sites_n
-985	1	1
-965	7	3
-945	7	3
-935	4	1
-925	2	2
-885	2	2
-855	1	1
-825	2	2
-795	2	2
-755	3	2
-745	2	1
-725	2	2
-715	3	2
-675	1	1
-665	3	2
-625	1	1
-595	2	2
-585	3	2
-575	1	1
-565	5	3
-555	3	1
-535	2	2
-525	2	1
-485	3	3
-475	10	7
-465	3	3
-455	1	1
-445	4	3
-435	3	2
-425	1	1
-415	1	1
-405	1	1
-395	5	1
-385	3	3
-375	2	2
-365	4	3
-355	2	2
-345	1	1
-335	9	4
-325	3	2
-315	1	1
-295	3	2
-285	2	2
-275	3	3
-265	1	1
-255	2	2
-245	5	5
-235	5	4
-225	9	5
-215	2	2
-205	2	2
-185	5	3
-175	11	4
-165	11	8
-155	4	3
-145	4	3
-135	8	8
-125	3	3
-115	2	2
-105	10	8
-95	4	2
-65	1	1
-15	2	2
5	2	2
35	2	2
55	2	1
65	3	2
75	7	6
85	5	5
95	20	13
105	8	5
115	9	7
125	14	10
135	3	2
145	8	6
155	9	6
165	1	1
175	4	3
185	2	2
195	4	4
205	5	4
215	6	3
225	8	6
235	4	4
245	4	3
255	4	3
265	2	2
275	3	3
285	1	1
295	4	3
305	2	2
325	1	1
335	3	2
345	10	4
355	1	1
365	2	2
375	1	1
385	10	6
395	2	2
405	7	4
425	5	4
435	4	2
445	2	2
455	4	4
465	1	1
525	1	1
535	1	1
555	2	2
565	1	1
575	2	2
595	4	2
645	2	1
655	2	2
665	2	1
675	5	4
685	1	1
695	2	2
705	1	1
755	2	2
765	4	2
785	1	1
795	1	1
805	1	1
815	1	1
825	1	1
855	6	5
865	1	1
875	3	3
895	2	2
905	1	1
935	1	1
945	2	2
955	1	1
975	3	3
985	1	1
