Standard name,Common name,Type,Sc ortholog,Sc ortholog gene name,Sc SGDID,Essential in Sc,Sc synthetic lethals,Sc fitness,Hits,Reads,Length,Insertion index,Neighborhood index,Reads NI,Max free region,Freedom index,Logit FI,Kornmann FI,Domain ratio,Hits in domains,Reads in domains,Domain coverage
GWK60_A00011,EPA19,ORF,,,,,,,0,0,13698,0.0,0.0,0.0,13698,1.0,1.0,0.0,0.0,0,0,0
GWK60_A00033,EPA24,ORF,,,,,,,1,254,2109,0.000474158368895211,0.4972905236063131,0.6367897378264492,1328,0.6296823138928402,0.6296823106685077,0.0,0.0,0,0,0
GWK60_A00055,GWK60_A00055,ORF,,,,,,,1,1,840,0.0011904761904761906,0.3863467261904762,0.0007460681454405431,565,0.6726190476190477,0.6715033064163113,0.0,0.0,0,0,0
GWK60_A00077,GWK60_A00077,ORF,YGL023C,PIB2,S000002991,,,0.8708,0,0,2271,0.0,0.0,0.0,2271,1.0,0.9999999989866457,0.0,0.0,0,0,0
GWK60_A00099,GWK60_A00099,ORF,YGL022W,STT3,S000002990,,,,0,0,2181,0.0,0.0,0.0,2181,1.0,0.9999999975075509,0.0,0.0,0,0,0
GWK60_A00121,GWK60_A00121,ORF,YBL009W,ALK2,S000000105,,No,1.0150,3,2457,2382,0.0012594458438287153,0.1412404628919797,0.1643191789535279,1625,0.6821998320738875,0.68219983184606,0.0,0.0,0,0,0
GWK60_A00143,GWK60_A00143,ORF,YGL020C,GET1,S000002988,,,0.9325,1,1,672,0.001488095238095238,0.11591117216117215,0.00015555013193649744,614,0.9136904761904762,0.9056167412458137,0.0,0.0,0,0,0
GWK60_A00165,GWK60_A00165,ORF,YGL019W,CKB1,S000002987,,No,0.8682,2,576,801,0.0024968789013732834,0.19125286939712458,0.07393239453475907,656,0.818976279650437,0.8169713598923884,0.0,0.0,0,0,0
GWK60_A00187,GWK60_A00187,ORF,YGL018C,JAC1,S000002986,,,,0,0,597,0.0,0.0,0.0,597,1.0,0.9814761750367006,0.0,0.0,0,0,0
GWK60_A00209,GWK60_A00209,ORF,YGL017W,ATE1,S000002985,,,1.0025,1,37,1530,0.00065359477124183,0.05467128027681661,0.0027638277075382385,1484,0.9699346405228758,0.9699330163766263,0.0,0.0,0,0,0
GWK60_A00231,GWK60_A00231,ORF,YGL010W,MPO1,S000002978,,,1.0220,5,1740,570,0.008771929824561403,0.6975648075412412,0.3268047953028368,201,0.3526315789473684,0.34412362928955875,0.0,0.0,0,0,0
GWK60_A00253,GWK60_A00253,ORF,YGL009C,LEU1,S000002977,,,1.0212,9,3572,2355,0.003821656050955414,0.3007288725458008,0.199029172492807,1022,0.4339702760084926,0.43397027581864117,0.13686925847384648,0.0,0,0,0
GWK60_A00275,GWK60_A00275,ORF,YGL016W,KAP122,S000002984,,,0.9042,10,8216,3210,0.003115264797507788,0.20261782735403477,0.305004211975728,1078,0.33582554517133956,0.33582554517131114,0.15115314617916303,0.0,0,0,0
GWK60_A00297,SCL1,ORF,YGL011C,SCL1,S000002979,,Yes,,0,0,765,0.0,0.0,0.0,765,1.0,0.9964948127799336,0.0,0.0,0,0,0
GWK60_A00319,ERG4,ORF,YGL012W,ERG4,S000002980,,,0.8460,0,0,1395,0.0,0.0,0.0,1395,1.0,0.9999935408088644,0.0,0.0,0,0,0
GWK60_A00341,PDR1,ORF,YBL005W,PDR3,S000000101,,No,1.0365,4,298,3324,0.0012033694344163659,0.07047287961848732,0.008528432723238872,1568,0.4717208182912154,0.47172081829120266,0.0,0.0,0,0,0
GWK60_A00363,GWK60_A00363,ORF,YGL014W,PUF4,S000002982,,,0.9610,6,2814,2361,0.0025412960609911056,0.13461809967527885,0.09370045739033714,813,0.3443456162642948,0.3443456161224247,0.0,0.0,0,0,0
GWK60_A00385,PMA1,ORF,YGL008C,PMA1,S000002976,,Yes,,1,1,2709,0.00036913990402362494,0.017035413868664733,2.3010244046075484e-05,2336,0.8623108157991879,0.8623108157882428,0.0,0.0,0,0,0
GWK60_A00407,GWK60_A00407,ORF,YGL006W,PMC1,S000002974,,,1.0077,26,20540,3369,0.00771742356782428,0.371440223752193,0.3706696641950519,827,0.2454734342534877,0.24547343425348345,0.22603242940894674,0.0,0,0,0
GWK60_A00429,GWK60_A00429,ORF,YGL005C,COG7,S000002973,,,0.9487,5,1103,810,0.006172839506172839,0.30000964506172834,0.08578196676265278,489,0.6037037037037037,0.6023527062630814,0.0,0.0,0,0,0
GWK60_A00451,GWK60_A00451,ORF,YGL004C,RPN14,S000002972,,,1.0310,55,56148,1239,0.04439063761097659,2.3893596986817327,3.2053623102816986,299,0.2413236481033091,0.241316230444286,0.571286461220807,0.0,0,0,0
GWK60_A00473,GWK60_A00473,ORF,,,,,,,5,990,1941,0.002575991756826378,0.12650739178651577,0.030091614083117713,654,0.3369397217928903,0.3369397125355704,0.09162219620904273,0.0,0,0,0
GWK60_A00495,GWK60_A00495,ORF,YGL003C,CDH1,S000002971,,,0.5930,2,27,1923,0.0010400416016640667,0.06230574804387525,0.0010807747342365108,1624,0.8445137805512221,0.8445137527724653,0.0,0.0,0,0,0
GWK60_A00517,GWK60_A00517,ORF,YGL002W,ERP6,S000002970,,No,1.0105,2,316,654,0.0030581039755351682,0.22377087744060223,0.05736533211806883,391,0.5978593272171254,0.5915455213726,0.0,0.0,0,0,0
GWK60_A00539,GWK60_A00539,ORF,,,,,,,2,29,384,0.005208333333333333,0.3859192251461988,0.00899447971302615,154,0.4010416666666667,0.3460783878733834,0.0,0.0,0,0,0
GWK60_A00583,GWK60_A00583,ORF,,,,,,,6,3698,825,0.007272727272727273,0.5188856304985338,0.5467380917764196,669,0.8109090909090909,0.809346684254829,0.0,0.0,0,0,0
GWK60_A00605,GWK60_A00605,ORF,YGR109W,YIL082W,S000007347,,,,8,4696,2601,0.0030757400999615533,0.2387309228891898,0.26947245919394613,957,0.3679354094579008,0.367935409444149,0.09516701721057512,0.0,0,0,0
GWK60_A00627,GWK60_A00627,ORF,,,,,,,7,2958,291,0.024054982817869417,2.040579074358412,1.7386751961447513,89,0.30584192439862545,0.21806534187269097,0.0,0.0,0,0,0
GWK60_A00649,GWK60_A00649,ORF,YJL219W,HXT9,S000003755,,No,1.0265,35,33619,1650,0.021212121212121213,1.7495580808080808,3.463810754400758,253,0.15333333333333332,0.15333325600006406,0.37128869733584186,0.0,0,0,0
GWK60_A00671,GWK60_A00671,ORF,YAL002W,VPS8,S000000002,,,0.7640,52,20693,3789,0.013723937714436528,1.1503155066100434,0.9629663951082643,383,0.1010820797044075,0.10108207970440747,0.20088209394278703,0.0,0,0,0
GWK60_A00693,GWK60_A00693,ORF,YAL001C,TFC3,S000000001,,,,0,0,3489,0.0,0.0,0.0,3489,1.0,0.9999999999999949,0.0,0.0,0,0,0
GWK60_A00715,GWK60_A00715,ORF,YLR321C,SFH1,S000004313,,,,1,1,1095,0.0009132420091324201,0.048483003551496706,0.00011313119833120827,1081,0.9872146118721461,0.9870865500664212,0.0,0.0,0,0,0
GWK60_A00737,GWK60_A00737,ORF,YLR316C,TAD3,S000004308,,,,0,0,990,0.0,0.0,0.0,990,1.0,0.9996293938593735,0.0,0.0,0,0,0
GWK60_A00759,EST2,ORF,YLR318W,EST2,S000004310,,,1.0450,6,1667,2556,0.002347417840375587,0.16079812206572772,0.12230439672254058,1358,0.5312989045383412,0.5312989045071981,0.0,0.0,0,0,0
GWK60_A00781,GWK60_A00781,ORF,YLR319C,BUD6,S000004311,,,0.9772,3,495,2259,0.0013280212483399733,0.0714038821881424,0.019424526525197626,1273,0.5635236830455954,0.5635236824017394,0.0,0.0,0,0,0
GWK60_A00803,GWK60_A00803,ORF,YLR320W,MMS22,S000004312,,,0.6070,6,1594,4281,0.001401541695865452,0.07428170988086895,0.03209904887579637,2383,0.5566456435412287,0.5566456435412287,0.0,0.0,0,0,0
GWK60_A00825,GWK60_A00825,ORF,YLR323C,CWC24,S000004315,,,,1,1,681,0.0014684287812041115,0.07595926706250399,0.00011956154202382192,394,0.57856093979442,0.5738850052887251,0.0,0.0,0,0,0
GWK60_A00847,PEX23B,ORF,,,,,,,2,382,1212,0.0016501650165016502,0.088691627783468,0.02551043375472353,568,0.46864686468646866,0.46862799485280016,0.0,0.0,0,0,0
GWK60_A00869,GWK60_A00869,ORF,YLR325C,RPL38,S000004317,,,0.9505,0,0,237,0.0,0.0,0.0,237,1.0,0.5914589784327801,0.0,0.0,0,0,0
GWK60_A00891,GWK60_A00891,ORF,YLR326W,YLR326W,S000004318,No,,1.0200,44,44734,660,0.06666666666666667,3.041994750656168,4.183341063121873,103,0.15606060606060607,0.1545075218298619,0.7836889371225997,0.0,0,0,0
GWK60_A00913,GWK60_A00913,ORF,YLR328W,NMA1,S000004320,,Yes,1.0230,2,2326,1236,0.0016181229773462784,0.0736309660321586,0.11582971013106536,1045,0.8454692556634305,0.8454424767327311,0.0,0.0,0,0,0
GWK60_A00935,GWK60_A00935,ORF,YPL262W,FUM1,S000006183,,,0.8180,5,2390,1452,0.003443526170798898,0.16465053763440862,0.10534620048431725,478,0.32920110192837465,0.32919989940706706,0.08991727990290471,0.0,0,0,0
GWK60_A00957,GWK60_A00957,ORF,YPL263C,KEL3,S000006184,,,1.0217,4,7973,1926,0.0020768431983385254,0.10483904465212876,0.2819413610558993,905,0.4698857736240914,0.4698857586248421,0.0,0.0,0,0,0
GWK60_A00979,GWK60_A00979,ORF,YPL272C,PBI1,S000006193,,,1.0155,2,584,1608,0.0012437810945273632,0.057565620174987134,0.0220604644854364,955,0.5939054726368159,0.5939050167566595,0.0,0.0,0,0,0
GWK60_A01001,GWK60_A01001,ORF,YPL271W,ATP15,S000006192,,,,0,0,210,0.0,0.0,0.0,210,1.0,0.52497918747894,0.0,0.0,0,0,0
GWK60_A01023,GWK60_A01023,ORF,YPL270W,MDL2,S000006191,,No,0.9572,5,3343,2406,0.0020781379883624274,0.10768244782445921,0.11610620795526122,968,0.4023275145469659,0.40232751444127357,0.0,0.0,0,0,0
GWK60_A01045,GWK60_A01045,ORF,YPL269W,KAR9,S000006190,,,1.0305,3,659,1830,0.001639344262295082,0.07424818152209314,0.025869344142330324,1713,0.9360655737704918,0.9360654957324825,0.0,0.0,0,0,0
GWK60_A01067,GWK60_A01067,ORF,YPL268W,PLC1,S000006189,,,,1,575,2553,0.0003916960438699569,0.02096823928461301,0.018254641511054794,2550,0.9988249118683902,0.9988249118080592,0.0,0.0,0,0,0
GWK60_A01089,GWK60_A01089,ORF,,,,,,,12,13078,312,0.038461538461538464,1.9483016983016985,3.2154810721157467,121,0.38782051282051283,0.2924122906741113,0.0,0.0,0,0,0
