Bin index,yH299-H2O2-treated-facs-pool3,yH299-H2O2-treated-facs-pool3 rank
CP048230.1-0,0,1112
CP048230.1-1,0,1113
CP048230.1-2,0,1114
CP048230.1-3,5,433
CP048230.1-4,4,512
CP048230.1-5,14,92
CP048230.1-6,12,121
CP048230.1-7,20,44
CP048230.1-8,15,78
CP048230.1-9,31,11
CP048230.1-10,6,351
CP048230.1-11,1,936
CP048230.1-12,28,16
CP048230.1-13,10,166
CP048230.1-14,19,52
CP048230.1-15,14,93
CP048230.1-16,4,513
CP048230.1-17,7,288
CP048230.1-18,16,69
CP048230.1-19,8,233
CP048230.1-20,7,289
CP048230.1-21,1,937
CP048230.1-22,0,1115
CP048230.1-23,3,648
CP048230.1-24,1,938
CP048230.1-25,5,434
CP048230.1-26,11,140
CP048230.1-27,8,234
CP048230.1-28,4,514
CP048230.1-29,2,785
CP048230.1-30,2,786
CP048230.1-31,1,939
CP048230.1-32,4,515
CP048230.1-33,3,649
CP048230.1-34,4,516
CP048230.1-35,8,235
CP048230.1-36,3,650
CP048230.1-37,12,122
CP048230.1-38,2,787
CP048230.1-39,3,651
CP048230.1-40,2,788
CP048230.1-41,4,517
CP048230.1-42,3,652
CP048230.1-43,8,236
CP048230.1-44,7,290
CP048230.1-45,1,940
CP048230.1-46,2,789
CP048230.1-47,7,291
CP048230.1-48,4,518
CP048231.1-0,0,1116
CP048231.1-1,2,790
CP048231.1-2,2,791
CP048231.1-3,6,352
CP048231.1-4,6,353
CP048231.1-5,9,202
CP048231.1-6,7,292
CP048231.1-7,2,792
CP048231.1-8,7,293
CP048231.1-9,6,354
CP048231.1-10,4,519
CP048231.1-11,4,520
CP048231.1-12,2,793
CP048231.1-13,1,941
CP048231.1-14,2,794
CP048231.1-15,1,942
CP048231.1-16,1,943
CP048231.1-17,1,944
CP048231.1-18,0,1117
CP048231.1-19,5,435
CP048231.1-20,4,521
CP048231.1-21,1,945
CP048231.1-22,7,294
CP048231.1-23,14,94
CP048231.1-24,6,355
