rel_bp	reads_sum	sites_n
-995	1	1
-975	1	1
-945	3	1
-935	4	2
-925	1	1
-905	1	1
-895	2	2
-875	1	1
-835	2	2
-825	2	2
-815	3	3
-805	1	1
-795	1	1
-775	3	2
-765	3	2
-725	1	1
-715	1	1
-705	2	1
-675	1	1
-665	1	1
-655	1	1
-645	1	1
-565	1	1
-555	5	4
-545	2	1
-535	6	4
-515	2	2
-495	1	1
-485	7	5
-475	4	2
-465	1	1
-455	3	2
-445	2	2
-435	4	4
-415	4	2
-405	1	1
-395	9	6
-385	4	1
-375	2	2
-365	4	3
-355	3	3
-345	1	1
-335	4	2
-325	2	2
-305	3	2
-295	3	2
-285	4	4
-275	4	3
-265	3	3
-255	5	4
-245	1	1
-235	1	1
-215	4	3
-205	1	1
-185	5	4
-175	5	4
-165	10	7
-155	3	3
-145	3	2
-135	11	7
-125	9	6
-115	6	6
-105	6	3
-55	1	1
-25	3	2
-5	4	1
5	3	2
25	1	1
45	1	1
55	2	2
65	1	1
75	8	5
85	17	8
95	15	11
105	7	6
115	8	4
125	13	7
135	7	5
145	9	6
155	12	8
165	5	2
175	7	7
185	7	5
195	5	4
205	2	2
215	6	3
225	2	2
235	8	7
245	2	1
255	1	1
265	4	2
275	5	5
285	2	2
295	7	5
305	7	5
315	1	1
325	6	4
335	5	2
345	4	3
355	4	4
365	5	3
375	2	1
385	5	3
395	4	1
405	5	3
415	2	2
425	7	4
435	1	1
445	1	1
455	5	4
465	4	3
475	3	3
495	1	1
515	2	2
525	1	1
535	3	3
555	3	2
575	1	1
585	2	1
595	2	1
605	6	4
615	1	1
625	1	1
635	5	2
645	2	2
655	1	1
675	1	1
685	1	1
705	1	1
715	1	1
725	2	2
735	1	1
745	1	1
755	1	1
785	1	1
815	1	1
835	1	1
845	1	1
875	4	2
895	2	2
925	7	3
935	1	1
955	1	1
975	2	1
985	2	1
