Bin index,yH299-H2O2-treated-facs-pool4,yH299-H2O2-treated-facs-pool4 rank
CP048230.1-0,0,1054
CP048230.1-1,0,1055
CP048230.1-2,0,1056
CP048230.1-3,8,156
CP048230.1-4,0,1057
CP048230.1-5,5,316
CP048230.1-6,8,157
CP048230.1-7,22,25
CP048230.1-8,8,158
CP048230.1-9,16,43
CP048230.1-10,7,183
CP048230.1-11,0,1058
CP048230.1-12,19,32
CP048230.1-13,12,70
CP048230.1-14,12,71
CP048230.1-15,7,184
CP048230.1-16,3,540
CP048230.1-17,2,673
CP048230.1-18,11,86
CP048230.1-19,7,185
CP048230.1-20,6,244
CP048230.1-21,1,861
CP048230.1-22,1,862
CP048230.1-23,3,541
CP048230.1-24,0,1059
CP048230.1-25,3,542
CP048230.1-26,9,126
CP048230.1-27,7,186
CP048230.1-28,2,674
CP048230.1-29,2,675
CP048230.1-30,0,1060
CP048230.1-31,1,863
CP048230.1-32,4,409
CP048230.1-33,6,245
CP048230.1-34,3,543
CP048230.1-35,7,187
CP048230.1-36,0,1061
CP048230.1-37,9,127
CP048230.1-38,1,864
CP048230.1-39,2,676
CP048230.1-40,1,865
CP048230.1-41,8,159
CP048230.1-42,3,544
CP048230.1-43,7,188
CP048230.1-44,10,108
CP048230.1-45,1,866
CP048230.1-46,4,410
CP048230.1-47,2,677
CP048230.1-48,4,411
CP048231.1-0,0,1062
CP048231.1-1,2,678
CP048231.1-2,4,412
CP048231.1-3,1,867
CP048231.1-4,5,317
CP048231.1-5,4,413
CP048231.1-6,4,414
CP048231.1-7,6,246
CP048231.1-8,3,545
CP048231.1-9,9,128
CP048231.1-10,2,679
CP048231.1-11,2,680
CP048231.1-12,0,1063
CP048231.1-13,1,868
CP048231.1-14,2,681
CP048231.1-15,1,869
CP048231.1-16,0,1064
CP048231.1-17,1,870
CP048231.1-18,3,546
CP048231.1-19,3,547
CP048231.1-20,2,682
CP048231.1-21,0,1065
CP048231.1-22,4,415
CP048231.1-23,10,109
CP048231.1-24,2,683
CP048231.1-25,7,189
CP048231.1-26,4,416
CP048231.1-27,11,87
CP048231.1-28,10,110
CP048231.1-29,17,36
CP048231.1-30,8,160
CP048231.1-31,1,871
CP048231.1-32,2,684
CP048231.1-33,0,1066
CP048231.1-34,6,247
CP048231.1-35,29,11
CP048231.1-36,1,872
CP048231.1-37,12,72
CP048231.1-38,25,18
CP048231.1-39,3,548
CP048231.1-40,5,318
CP048231.1-41,11,88
CP048231.1-42,7,190
CP048231.1-43,9,129
CP048231.1-44,26,16
CP048231.1-45,12,73
CP048231.1-46,13,58
CP048231.1-47,24,21
CP048231.1-48,30,10
CP048231.1-49,2,685
CP048231.1-50,0,1067
CP048231.1-51,1,873
CP048232.1-0,0,1068
CP048232.1-1,1,874
CP048232.1-2,1,875
CP048232.1-3,4,417
CP048232.1-4,4,418
CP048232.1-5,7,191
CP048232.1-6,5,319
CP048232.1-7,3,549
CP048232.1-8,3,550
CP048232.1-9,1,876
CP048232.1-10,1,877
CP048232.1-11,4,419
CP048232.1-12,4,420
CP048232.1-13,1,878
CP048232.1-14,2,686
CP048232.1-15,4,421
CP048232.1-16,14,49
CP048232.1-17,0,1069
CP048232.1-18,4,422
CP048232.1-19,2,687
CP048232.1-20,2,688
CP048232.1-21,2,689
CP048232.1-22,4,423
