Bin index,yH299-parent-pool3,yH299-parent-pool3 rank
CP048230.1-0,0,1082
CP048230.1-1,0,1083
CP048230.1-2,1,896
CP048230.1-3,4,472
CP048230.1-4,2,735
CP048230.1-5,9,180
CP048230.1-6,5,365
CP048230.1-7,35,6
CP048230.1-8,8,211
CP048230.1-9,23,24
CP048230.1-10,4,473
CP048230.1-11,2,736
CP048230.1-12,24,22
CP048230.1-13,7,250
CP048230.1-14,25,19
CP048230.1-15,6,301
CP048230.1-16,4,474
CP048230.1-17,7,251
CP048230.1-18,17,52
CP048230.1-19,7,252
CP048230.1-20,4,475
CP048230.1-21,1,897
CP048230.1-22,0,1084
CP048230.1-23,4,476
CP048230.1-24,3,594
CP048230.1-25,4,477
CP048230.1-26,9,181
CP048230.1-27,3,595
CP048230.1-28,3,596
CP048230.1-29,4,478
CP048230.1-30,0,1085
CP048230.1-31,1,898
CP048230.1-32,7,253
CP048230.1-33,6,302
CP048230.1-34,8,212
CP048230.1-35,8,213
CP048230.1-36,1,899
CP048230.1-37,9,182
CP048230.1-38,3,597
CP048230.1-39,5,366
CP048230.1-40,1,900
CP048230.1-41,5,367
CP048230.1-42,3,598
CP048230.1-43,5,368
CP048230.1-44,13,99
CP048230.1-45,2,737
CP048230.1-46,4,479
CP048230.1-47,5,369
CP048230.1-48,8,214
CP048231.1-0,0,1086
CP048231.1-1,4,480
CP048231.1-2,3,599
CP048231.1-3,4,481
CP048231.1-4,3,600
CP048231.1-5,8,215
CP048231.1-6,7,254
CP048231.1-7,7,255
CP048231.1-8,3,601
CP048231.1-9,6,303
CP048231.1-10,2,738
CP048231.1-11,3,602
CP048231.1-12,1,901
CP048231.1-13,1,902
CP048231.1-14,5,370
CP048231.1-15,2,739
CP048231.1-16,0,1087
CP048231.1-17,1,903
CP048231.1-18,3,603
CP048231.1-19,4,482
CP048231.1-20,5,371
CP048231.1-21,0,1088
CP048231.1-22,6,304
CP048231.1-23,20,40
CP048231.1-24,1,904
CP048231.1-25,9,183
CP048231.1-26,11,131
CP048231.1-27,15,69
CP048231.1-28,10,152
CP048231.1-29,23,25
CP048231.1-30,12,112
CP048231.1-31,2,740
CP048231.1-32,3,604
CP048231.1-33,2,741
CP048231.1-34,3,605
CP048231.1-35,25,20
CP048231.1-36,2,742
CP048231.1-37,23,26
CP048231.1-38,33,8
CP048231.1-39,5,372
CP048231.1-40,4,483
CP048231.1-41,9,184
CP048231.1-42,7,256
CP048231.1-43,16,59
CP048231.1-44,34,7
CP048231.1-45,22,29
CP048231.1-46,17,53
CP048231.1-47,17,54
CP048231.1-48,23,27
CP048231.1-49,0,1089
CP048231.1-50,0,1090
CP048231.1-51,1,905
CP048232.1-0,0,1091
CP048232.1-1,0,1092
CP048232.1-2,2,743
CP048232.1-3,6,305
CP048232.1-4,5,373
CP048232.1-5,9,185
CP048232.1-6,4,484
CP048232.1-7,6,306
CP048232.1-8,5,374
CP048232.1-9,0,1093
CP048232.1-10,6,307
CP048232.1-11,4,485
CP048232.1-12,3,606
CP048232.1-13,3,607
CP048232.1-14,3,608
CP048232.1-15,4,486
CP048232.1-16,15,70
CP048232.1-17,3,609
CP048232.1-18,5,375
CP048232.1-19,6,308
CP048232.1-20,2,744
CP048232.1-21,4,487
CP048232.1-22,3,610
CP048232.1-23,7,257
CP048232.1-24,14,88
CP048232.1-25,2,745
CP048232.1-26,3,611
CP048232.1-27,8,216
CP048232.1-28,7,258
CP048232.1-29,3,612
CP048232.1-30,4,488
CP048232.1-31,12,113
CP048232.1-32,8,217
CP048232.1-33,6,309
CP048232.1-34,5,376
CP048232.1-35,18,49
CP048232.1-36,16,60
CP048232.1-37,16,61
CP048232.1-38,21,31
CP048232.1-39,17,55
CP048232.1-40,21,32
CP048232.1-41,20,41
CP048232.1-42,29,12
CP048232.1-43,53,2
CP048232.1-44,19,44
CP048232.1-45,21,33
CP048232.1-46,7,259
CP048232.1-47,28,13
CP048232.1-48,5,377
CP048232.1-49,6,310
CP048232.1-50,4,489
CP048232.1-51,2,746
CP048232.1-52,5,378
CP048233.1-0,0,1094
CP048233.1-1,1,906
CP048233.1-2,11,132
CP048233.1-3,3,613
CP048233.1-4,1,907
CP048233.1-5,3,614
CP048233.1-6,0,1095
CP048233.1-7,5,379
CP048233.1-8,2,747
CP048233.1-9,11,133
CP048233.1-10,12,114
CP048233.1-11,1,908
CP048233.1-12,10,153
CP048233.1-13,4,490
CP048233.1-14,2,748
CP048233.1-15,2,749
CP048233.1-16,7,260
CP048233.1-17,0,1096
CP048233.1-18,15,71
CP048233.1-19,1,909
CP048233.1-20,2,750
CP048233.1-21,3,615
CP048233.1-22,2,751
CP048233.1-23,1,910
CP048233.1-24,11,134
CP048233.1-25,3,616
CP048233.1-26,0,1097
CP048233.1-27,1,911
CP048233.1-28,0,1098
CP048233.1-29,1,912
CP048233.1-30,4,491
CP048233.1-31,1,913
CP048233.1-32,1,914
CP048233.1-33,3,617
CP048233.1-34,0,1099
CP048233.1-35,4,492
CP048233.1-36,2,752
CP048233.1-37,2,753
CP048233.1-38,1,915
CP048233.1-39,3,618
CP048233.1-40,8,218
CP048233.1-41,2,754
CP048233.1-42,2,755
CP048233.1-43,4,493
CP048233.1-44,6,311
CP048233.1-45,5,380
CP048233.1-46,0,1100
CP048233.1-47,9,186
CP048233.1-48,3,619
CP048233.1-49,6,312
CP048233.1-50,4,494
CP048233.1-51,6,313
CP048233.1-52,1,916
CP048233.1-53,15,72
CP048233.1-54,12,115
CP048233.1-55,19,45
CP048233.1-56,2,756
CP048233.1-57,13,100
CP048233.1-58,15,73
CP048233.1-59,7,261
CP048233.1-60,21,34
CP048233.1-61,11,135
CP048233.1-62,8,219
CP048233.1-63,8,220
CP048233.1-64,38,5
CP048233.1-65,6,314
CP048233.1-66,18,50
CP048233.1-67,8,221
CP048233.1-68,16,62
CP048233.1-69,1,917
CP048233.1-70,1,918
CP048234.1-0,1,919
CP048234.1-1,1,920
CP048234.1-2,0,1101
CP048234.1-3,1,921
CP048234.1-4,1,922
CP048234.1-5,5,381
CP048234.1-6,0,1102
CP048234.1-7,2,757
CP048234.1-8,4,495
CP048234.1-9,6,315
CP048234.1-10,0,1103
CP048234.1-11,1,923
CP048234.1-12,7,262
CP048234.1-13,10,154
CP048234.1-14,7,263
CP048234.1-15,5,382
CP048234.1-16,2,758
CP048234.1-17,3,620
CP048234.1-18,4,496
CP048234.1-19,5,383
CP048234.1-20,15,74
CP048234.1-21,5,384
CP048234.1-22,11,136
CP048234.1-23,26,16
CP048234.1-24,8,222
CP048234.1-25,12,116
CP048234.1-26,12,117
CP048234.1-27,7,264
CP048234.1-28,13,101
CP048234.1-29,2,759
CP048234.1-30,15,75
CP048234.1-31,12,118
CP048234.1-32,10,155
CP048234.1-33,1,924
CP048234.1-34,1,925
CP048234.1-35,5,385
CP048234.1-36,5,386
CP048234.1-37,4,497
CP048234.1-38,4,498
CP048234.1-39,7,265
CP048234.1-40,5,387
CP048234.1-41,5,388
CP048234.1-42,0,1104
CP048234.1-43,9,187
CP048234.1-44,16,63
CP048234.1-45,2,760
CP048234.1-46,16,64
CP048234.1-47,4,499
CP048234.1-48,2,761
CP048234.1-49,21,35
CP048234.1-50,11,137
CP048234.1-51,2,762
CP048234.1-52,3,621
CP048234.1-53,2,763
CP048234.1-54,2,764
CP048234.1-55,1,926
CP048234.1-56,1,927
CP048234.1-57,9,188
CP048234.1-58,12,119
CP048234.1-59,3,622
CP048234.1-60,0,1105
CP048234.1-61,5,389
CP048234.1-62,11,138
CP048234.1-63,7,266
CP048234.1-64,5,390
CP048234.1-65,5,391
CP048234.1-66,3,623
CP048234.1-67,1,928
CP048235.1-0,0,1106
CP048235.1-1,0,1107
CP048235.1-2,0,1108
CP048235.1-3,7,267
CP048235.1-4,4,500
CP048235.1-5,12,120
CP048235.1-6,0,1109
CP048235.1-7,9,189
CP048235.1-8,15,76
CP048235.1-9,3,624
CP048235.1-10,2,765
CP048235.1-11,0,1110
CP048235.1-12,5,392
CP048235.1-13,4,501
CP048235.1-14,12,121
CP048235.1-15,3,625
CP048235.1-16,26,17
CP048235.1-17,0,1111
CP048235.1-18,6,316
CP048235.1-19,16,65
CP048235.1-20,19,46
CP048235.1-21,2,766
CP048235.1-22,4,502
CP048235.1-23,13,102
CP048235.1-24,31,9
CP048235.1-25,11,139
CP048235.1-26,1,929
CP048235.1-27,14,89
CP048235.1-28,2,767
CP048235.1-29,6,317
CP048235.1-30,14,90
CP048235.1-31,11,140
CP048235.1-32,3,626
CP048235.1-33,2,768
CP048235.1-34,6,318
CP048235.1-35,2,769
CP048235.1-36,3,627
CP048235.1-37,8,223
CP048235.1-38,3,628
CP048235.1-39,1,930
CP048235.1-40,2,770
CP048235.1-41,3,629
CP048235.1-42,5,393
CP048235.1-43,23,28
CP048235.1-44,0,1112
CP048235.1-45,3,630
CP048235.1-46,3,631
CP048235.1-47,4,503
CP048235.1-48,4,504
CP048235.1-49,1,931
CP048235.1-50,7,268
CP048235.1-51,2,771
CP048235.1-52,1,932
CP048235.1-53,5,394
CP048235.1-54,2,772
CP048235.1-55,4,505
CP048235.1-56,4,506
CP048235.1-57,1,933
CP048235.1-58,1,934
CP048235.1-59,2,773
CP048235.1-60,9,190
CP048235.1-61,5,395
CP048235.1-62,1,935
CP048235.1-63,3,632
CP048235.1-64,4,507
CP048235.1-65,1,936
CP048235.1-66,1,937
CP048235.1-67,0,1113
CP048235.1-68,3,633
CP048235.1-69,8,224
CP048235.1-70,7,269
CP048235.1-71,1,938
CP048235.1-72,3,634
CP048235.1-73,2,774
CP048235.1-74,9,191
CP048235.1-75,15,77
CP048235.1-76,3,635
CP048235.1-77,2,775
CP048235.1-78,1,939
CP048235.1-79,2,776
CP048235.1-80,2,777
CP048235.1-81,6,319
CP048235.1-82,1,940
CP048235.1-83,3,636
CP048235.1-84,1,941
CP048235.1-85,1,942
CP048235.1-86,5,396
CP048235.1-87,2,778
CP048235.1-88,10,156
CP048235.1-89,2,779
CP048235.1-90,5,397
CP048235.1-91,4,508
CP048236.1-0,1,943
CP048236.1-1,0,1114
CP048236.1-2,1,944
CP048236.1-3,10,157
CP048236.1-4,20,42
CP048236.1-5,27,14
CP048236.1-6,5,398
CP048236.1-7,9,192
CP048236.1-8,16,66
CP048236.1-9,7,270
CP048236.1-10,5,399
CP048236.1-11,21,36
CP048236.1-12,8,225
CP048236.1-13,3,637
CP048236.1-14,7,271
CP048236.1-15,5,400
CP048236.1-16,4,509
CP048236.1-17,4,510
CP048236.1-18,0,1115
CP048236.1-19,12,122
CP048236.1-20,10,158
CP048236.1-21,1,945
CP048236.1-22,1,946
CP048236.1-23,4,511
CP048236.1-24,2,780
CP048236.1-25,3,638
CP048236.1-26,4,512
CP048236.1-27,3,639
CP048236.1-28,17,56
CP048236.1-29,8,226
CP048236.1-30,0,1116
CP048236.1-31,5,401
CP048236.1-32,4,513
CP048236.1-33,1,947
CP048236.1-34,0,1117
CP048236.1-35,2,781
CP048236.1-36,7,272
CP048236.1-37,3,640
CP048236.1-38,3,641
CP048236.1-39,4,514
CP048236.1-40,2,782
CP048236.1-41,1,948
CP048236.1-42,1,949
CP048236.1-43,2,783
CP048236.1-44,0,1118
CP048236.1-45,1,950
CP048236.1-46,1,951
CP048236.1-47,9,193
CP048236.1-48,0,1119
CP048236.1-49,0,1120
CP048236.1-50,2,784
CP048236.1-51,11,141
CP048236.1-52,2,785
CP048236.1-53,3,642
CP048236.1-54,2,786
CP048236.1-55,8,227
CP048236.1-56,5,402
CP048236.1-57,5,403
CP048236.1-58,5,404
CP048236.1-59,5,405
CP048236.1-60,7,273
CP048236.1-61,0,1121
CP048236.1-62,0,1122
CP048236.1-63,3,643
CP048236.1-64,4,515
CP048236.1-65,1,952
CP048236.1-66,2,787
CP048236.1-67,0,1123
CP048236.1-68,0,1124
CP048236.1-69,3,644
CP048236.1-70,8,228
CP048236.1-71,2,788
CP048236.1-72,2,789
CP048236.1-73,2,790
CP048236.1-74,3,645
CP048236.1-75,0,1125
CP048236.1-76,0,1126
CP048236.1-77,3,646
CP048236.1-78,3,647
CP048236.1-79,1,953
CP048236.1-80,2,791
CP048236.1-81,0,1127
CP048236.1-82,7,274
CP048236.1-83,4,516
CP048236.1-84,3,648
CP048236.1-85,0,1128
CP048236.1-86,3,649
CP048236.1-87,8,229
CP048236.1-88,2,792
CP048236.1-89,4,517
CP048236.1-90,3,650
CP048236.1-91,2,793
CP048236.1-92,9,194
CP048236.1-93,10,159
CP048236.1-94,4,518
CP048236.1-95,0,1129
CP048236.1-96,0,1130
CP048236.1-97,0,1131
CP048236.1-98,4,519
CP048236.1-99,2,794
CP048237.1-0,0,1132
CP048237.1-1,0,1133
CP048237.1-2,1,954
CP048237.1-3,4,520
CP048237.1-4,2,795
CP048237.1-5,2,796
CP048237.1-6,0,1134
CP048237.1-7,11,142
CP048237.1-8,8,230
CP048237.1-9,2,797
CP048237.1-10,0,1135
CP048237.1-11,1,955
CP048237.1-12,1,956
CP048237.1-13,7,275
CP048237.1-14,7,276
CP048237.1-15,0,1136
CP048237.1-16,1,957
CP048237.1-17,3,651
CP048237.1-18,3,652
CP048237.1-19,5,406
CP048237.1-20,2,798
CP048237.1-21,3,653
CP048237.1-22,4,521
CP048237.1-23,1,958
CP048237.1-24,5,407
CP048237.1-25,2,799
CP048237.1-26,3,654
CP048237.1-27,0,1137
CP048237.1-28,4,522
