rel_bp	reads_sum	sites_n
-995	11	10
-985	13	12
-975	16	15
-965	10	8
-955	21	16
-945	18	15
-935	16	15
-925	36	24
-915	24	20
-905	22	13
-895	17	12
-885	26	19
-875	44	22
-865	39	26
-855	33	24
-845	17	16
-835	24	16
-825	20	13
-815	25	16
-805	37	27
-795	22	17
-785	22	18
-775	28	22
-765	22	16
-755	39	27
-745	25	18
-735	27	18
-725	21	20
-715	46	33
-705	33	25
-695	41	28
-685	38	28
-675	30	23
-665	38	28
-655	35	27
-645	39	34
-635	42	31
-625	46	34
-615	42	33
-605	36	26
-595	47	34
-585	47	32
-575	76	50
-565	58	35
-555	45	31
-545	56	39
-535	57	42
-525	38	31
-515	64	45
-505	44	33
-495	34	27
-485	55	41
-475	54	40
-465	59	44
-455	49	40
-445	64	46
-435	80	47
-425	56	49
-415	73	52
-405	79	51
-395	73	45
-385	75	57
-375	62	46
-365	80	62
-355	92	63
-345	92	71
-335	69	54
-325	89	61
-315	80	60
-305	100	63
-295	74	55
-285	95	72
-275	81	58
-265	78	57
-255	73	58
-245	109	78
-235	105	76
-225	100	73
-215	88	72
-205	85	65
-195	73	63
-185	84	64
-175	97	72
-165	109	83
-155	68	57
-145	74	56
-135	86	51
-125	76	59
-115	83	62
-105	98	64
-95	62	45
-85	65	45
-75	46	35
-65	59	40
-55	34	24
-45	37	25
-35	16	14
-25	11	9
-15	18	14
-5	9	7
5	18	15
15	13	12
25	6	6
35	12	12
45	14	10
55	14	12
65	16	14
75	19	15
85	14	13
95	32	21
105	23	15
115	27	21
125	16	14
135	31	18
145	18	14
155	44	27
165	18	15
175	21	16
185	16	10
195	22	18
205	10	9
215	22	18
225	19	15
235	31	19
245	28	19
255	27	19
265	18	15
275	17	13
285	17	13
295	17	15
305	14	9
315	10	9
325	14	11
335	9	6
345	22	17
355	20	12
365	16	14
375	23	14
385	24	18
395	16	13
405	14	11
415	19	11
425	26	18
435	15	12
445	9	6
455	2	2
465	14	12
475	20	15
485	30	18
495	23	12
505	11	9
515	10	9
525	14	9
535	15	13
545	14	13
555	10	9
565	20	12
575	22	19
585	14	13
595	12	11
605	12	10
615	9	7
625	12	9
635	12	10
645	12	9
655	15	9
665	10	9
675	12	9
685	10	5
695	12	9
705	19	14
715	13	9
725	12	10
735	8	5
745	11	9
755	18	13
765	16	11
775	7	5
785	3	3
795	6	5
805	11	11
815	11	7
825	5	4
835	12	7
845	6	6
855	7	6
865	6	6
875	6	5
885	9	7
895	14	9
905	13	10
915	10	9
925	5	4
935	6	6
945	7	7
955	10	8
965	12	10
975	10	8
985	9	6
995	8	6
1005	2	1
